???Maybank Kim Eng Securities (Thailand) PCL (MBKET) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,8.85,14.60,8.60,14.10,"718,692"
12/31/2020,6.70,9.50,4.04,8.85,???
12/31/2019,10.10,11.40,6.55,6.70,???
12/31/2018,21.60,22.30,10.00,10.10,???
12/29/2017,22.30,23.30,21.40,21.60,"90,094"
12/30/2016,22.70,23.30,20.40,22.30,"95,209"
12/31/2015,23.00,26.00,21.90,22.70,"127,558"
12/31/2014,20.80,24.50,20.00,23.00,"200,364"
12/31/2013,14.50,31.50,14.50,20.80,"742,806"
12/31/2012,15.00,16.60,12.50,14.50,"308,142"
12/30/2011,15.80,17.80,12.70,15.00,"1,162,478"
