???Mc Group PCL (MC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,9.85,12.40,8.80,9.70,"2,880,128"
12/31/2020,7.35,12.20,6.15,9.85,???
12/31/2019,10.90,11.10,5.80,7.35,???
12/31/2018,15.80,17.20,10.60,10.90,???
12/29/2017,15.10,23.80,13.20,15.80,"3,121,794"
12/30/2016,12.10,15.70,11.10,15.10,"1,302,187"
12/31/2015,13.00,16.10,11.60,12.10,"1,017,349"
12/31/2014,11.60,20.80,10.90,13.00,"2,215,934"
12/31/2013,17.20,17.70,9.00,11.60,"4,290,955"
07/04/2013,17.20,17.70,15.50,16.00,"143,866,592"
