???MCOT PCL (MCOT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.24,7.20,3.50,6.30,"1,190,924"
12/31/2020,9.75,12.30,2.74,4.24,???
12/31/2019,9.10,12.40,8.80,9.75,???
12/31/2018,11.60,11.80,8.35,9.10,???
12/29/2017,14.40,16.40,11.00,11.60,"336,936"
12/30/2016,8.35,16.60,7.95,14.40,"725,853"
12/31/2015,16.10,19.80,7.20,8.35,"407,081"
12/31/2014,29.00,31.75,16.10,16.10,"539,363"
12/31/2013,47.00,56.75,28.50,29.00,"854,331"
12/31/2012,26.75,47.25,26.25,47.00,"740,573"
12/30/2011,29.00,32.50,24.20,26.75,"717,693"
