???M.C.S. Steel PCL (MCS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,13.00,15.50,12.70,14.80,"4,638,090"
12/31/2020,9.55,14.50,5.70,13.00,???
12/31/2019,6.65,10.20,6.45,9.55,???
12/31/2018,11.60,12.80,6.45,6.65,???
12/29/2017,17.20,17.40,10.30,11.60,"2,194,139"
12/30/2016,10.50,19.30,9.65,17.20,"4,274,680"
12/31/2015,5.35,11.80,5.35,10.50,"5,156,890"
12/31/2014,4.18,6.85,3.94,5.35,"1,569,660"
12/31/2013,6.35,7.40,4.00,4.18,"2,257,417"
12/31/2012,8.80,10.70,5.60,6.35,"2,495,739"
12/30/2011,9.95,12.80,7.40,8.80,"3,672,913"
