???Mega Lifesciences PCL (MEGA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,35.75,43.00,32.25,35.50,"4,253,925"
12/31/2020,26.00,41.25,17.90,35.75,???
12/31/2019,28.75,38.25,26.00,26.00,???
12/31/2018,44.00,47.75,28.25,28.75,???
12/29/2017,25.25,48.00,24.10,44.00,"3,268,980"
12/30/2016,16.40,27.25,15.40,25.25,"2,777,890"
12/31/2015,16.60,19.90,15.90,16.40,"707,258"
12/31/2014,20.00,25.00,15.00,16.60,"1,953,448"
12/31/2013,19.00,22.10,18.00,20.00,"16,137,183"
11/19/2013,19.00,21.30,18.00,21.30,"308,635,100"
