???Meta Corp PCL (META) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.38,0.95,0.36,0.81,"21,574,859"
12/31/2020,1.30,1.65,0.30,0.38,???
12/31/2019,2.02,2.34,1.10,1.30,???
12/31/2018,1.81,2.44,1.56,2.02,???
12/29/2017,3.15,3.45,1.73,1.81,"5,902,727"
12/30/2016,2.65,3.59,1.91,3.15,"10,750,118"
12/31/2015,2.57,4.56,2.45,2.65,"11,944,317"
12/31/2014,2.19,4.38,1.90,2.57,"9,261,278"
12/31/2013,4.38,7.91,1.89,2.19,"10,015,230"
12/31/2012,1.38,5.28,1.34,4.38,"3,464,814"
12/30/2011,2.19,2.30,1.09,1.38,"2,657,440"
