???Mfc Asset Management Public Co Ltd (MFC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,14.60,19.70,14.40,19.20,"148,404"
12/31/2020,15.40,15.90,9.15,14.60,???
12/31/2019,16.70,19.20,15.00,15.40,???
12/31/2018,16.20,18.00,14.70,16.70,???
12/29/2017,21.90,23.40,16.00,16.20,"39,553"
12/30/2016,24.70,27.25,21.00,21.90,"15,444"
12/31/2015,36.50,53.00,22.50,24.70,"7,794"
12/31/2014,35.00,41.75,33.25,36.50,"12,537"
12/31/2013,21.00,58.00,20.20,35.00,"37,057"
12/31/2012,18.40,22.90,18.10,21.00,"17,897"
12/30/2011,14.00,28.00,13.50,18.40,"17,836"
