???Mida Assets PCL (MIDA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.49,0.72,0.41,0.64,"17,053,558"
12/31/2020,0.53,0.67,0.24,0.49,???
12/31/2019,0.58,0.66,0.51,0.53,???
12/31/2018,0.61,0.69,0.57,0.58,???
12/29/2017,0.82,0.85,0.59,0.61,"933,320"
12/30/2016,0.93,1.07,0.60,0.82,"2,882,980"
12/31/2015,1.22,1.93,0.86,0.93,"29,797,523"
12/31/2014,0.59,1.79,0.50,1.22,"51,276,361"
12/31/2013,0.57,1.34,0.41,0.59,"28,308,990"
12/31/2012,0.30,0.59,0.29,0.57,"15,694,234"
12/30/2011,0.30,0.46,0.25,0.30,"17,296,902"
