???Millcon Steel PCL (MILL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.85,2.16,0.80,1.43,"31,302,731"
12/31/2020,0.65,0.93,0.39,0.85,???
12/31/2019,1.45,1.45,0.65,0.65,???
12/31/2018,1.55,1.76,1.21,1.45,???
12/29/2017,1.34,1.68,1.27,1.55,"9,375,867"
12/30/2016,1.02,1.42,0.91,1.34,"14,458,649"
12/31/2015,1.65,1.90,0.89,1.02,"19,568,647"
12/31/2014,1.11,2.43,1.07,1.65,"19,319,979"
12/31/2013,1.14,1.39,1.01,1.11,"2,661,078"
12/31/2012,1.20,1.49,1.08,1.14,"7,372,815"
12/30/2011,1.23,1.30,1.06,1.20,"16,164,915"
