???Minor International PCL (MINT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,25.75,33.75,24.40,33.50,"24,047,469"
12/31/2020,35.46,36.20,13.30,25.75,???
12/31/2019,33.49,42.11,32.26,35.46,???
12/31/2018,43.09,44.33,30.78,33.49,???
12/29/2017,35.21,44.57,32.75,43.09,"12,069,205"
12/30/2016,35.46,42.60,30.04,35.21,"9,031,449"
12/31/2015,29.10,37.18,22.26,35.46,"8,511,829"
12/31/2014,18.54,35.73,16.48,29.10,"9,296,628"
12/31/2013,17.55,26.64,17.55,18.54,"10,618,264"
12/31/2012,9.12,18.54,9.04,17.55,"8,729,846"
12/30/2011,9.69,11.23,7.65,9.12,"8,322,140"
