???Major Development PCL (MJD) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.63,2.42,1.55,2.08,"4,670,008"
12/31/2020,3.02,3.04,1.40,1.63,???
12/31/2019,3.42,3.80,2.94,3.02,???
12/31/2018,3.16,3.82,3.02,3.42,???
12/29/2017,3.28,3.70,2.96,3.16,"286,660"
12/30/2016,2.34,3.64,2.30,3.28,"338,961"
12/31/2015,3.04,4.54,2.02,2.34,"1,202,663"
12/31/2014,1.93,3.88,1.68,3.04,"3,049,354"
12/31/2013,2.90,3.32,1.82,1.93,"2,411,998"
12/31/2012,1.68,3.20,1.67,2.90,"2,900,085"
12/30/2011,2.82,2.84,1.23,1.68,"1,823,843"
