???M.K. Real Estate Development PCL (MK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.12,3.20,2.94,3.14,"244,560"
12/31/2020,3.08,3.32,2.02,3.12,???
12/31/2019,3.38,3.53,3.00,3.08,???
12/31/2018,3.25,4.35,2.67,3.38,???
12/29/2017,3.62,3.91,3.18,3.25,"1,566,314"
12/30/2016,3.87,4.16,3.35,3.62,"1,471,587"
12/31/2015,3.85,6.09,3.45,3.87,"13,029,262"
12/31/2014,3.05,4.13,2.95,3.85,"2,729,387"
12/31/2013,3.13,4.77,2.73,3.05,"6,550,073"
12/31/2012,2.38,3.44,2.36,3.13,"3,252,357"
12/30/2011,2.67,2.89,2.16,2.38,"1,658,273"
