???Metallica Metals Corp (MM) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.19,0.57,0.19,0.28,"227,641"
12/31/2020,0.10,0.30,0.05,0.19,"42,622"
12/31/2019,0.55,1.50,0.05,0.10,"57,427"
12/31/2018,2.43,4.50,0.50,0.55,"44,559"
12/29/2017,2.92,5.33,1.00,2.43,"8,069"
12/30/2016,3.75,6.25,2.50,2.92,"5,272"
12/31/2015,4.58,8.33,1.67,3.75,"0,974"
12/31/2014,2.50,13.75,2.08,4.58,"0,025"
12/31/2013,1.25,7.92,1.25,2.50,"0,039"
12/31/2012,37.50,37.50,1.25,1.25,"0,000"
12/30/2011,475.00,587.50,25.00,37.50,"0,226"
