???Moong Pattana International PCL (MOONG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.14,5.75,3.98,5.35,"665,223"
12/31/2020,3.68,4.36,2.98,4.14,???
12/31/2019,6.55,7.10,3.30,3.68,???
12/31/2018,5.30,7.60,5.00,6.55,???
12/29/2017,4.80,8.65,4.74,5.30,"3,274,895"
12/30/2016,4.96,5.75,4.48,4.80,"145,717"
12/31/2015,4.20,6.80,4.06,4.96,"1,296,424"
12/31/2014,3.35,5.17,3.26,4.20,"212,279"
12/31/2013,3.43,5.27,3.35,3.35,"99,651"
12/31/2012,2.22,3.46,2.19,3.43,"174,270"
12/30/2011,3.49,3.53,1.42,2.22,"247,320"
