???Nation Broadcasting Corp PCL (NBC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.60,1.09,0.56,0.96,"1,664,407"
12/31/2020,0.48,0.74,0.35,0.60,???
12/31/2019,0.44,0.81,0.24,0.48,???
12/31/2018,1.13,1.13,0.35,0.44,???
12/29/2017,1.76,1.93,1.06,1.13,"212,339"
12/30/2016,2.45,2.92,1.40,1.76,"342,841"
12/31/2015,3.88,6.04,2.34,2.45,"1,535,738"
12/31/2014,4.15,5.27,3.09,3.88,"2,125,287"
12/31/2013,2.63,7.83,2.36,4.15,"4,678,542"
12/31/2012,3.09,3.54,2.34,2.63,"849,317"
12/30/2011,3.95,3.97,2.51,3.09,"672,204"
