???N.C. Housing PCL (NCH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.83,1.81,0.80,1.69,"6,599,571"
12/31/2020,0.83,0.97,0.38,0.83,???
12/31/2019,0.87,1.04,0.82,0.83,???
12/31/2018,1.05,1.17,0.84,0.87,???
12/29/2017,1.16,1.42,1.04,1.05,"1,319,127"
12/30/2016,1.40,1.57,0.98,1.16,"1,328,572"
12/31/2015,1.47,2.80,1.36,1.40,"23,943,666"
12/31/2014,1.10,2.02,1.02,1.47,"14,528,931"
12/31/2013,1.26,2.23,1.01,1.10,"5,239,611"
12/31/2012,1.13,1.36,0.99,1.26,"2,938,507"
12/30/2011,1.12,1.53,0.94,1.13,"7,375,635"
