???Nep Realty And Industry PCL (NEP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.25,0.52,0.23,0.44,"928,992"
12/31/2020,0.25,0.29,0.10,0.25,???
12/31/2019,0.38,0.39,0.22,0.25,???
12/31/2018,0.44,0.47,0.29,0.38,???
12/29/2017,0.36,0.49,0.33,0.44,"3,511,125"
12/30/2016,0.45,0.63,0.30,0.36,"7,963,147"
12/31/2015,0.83,0.90,0.41,0.45,"3,576,945"
12/31/2014,1.01,1.14,0.74,0.83,"5,983,258"
12/31/2013,0.98,1.84,0.74,1.01,"44,144,899"
12/31/2012,0.65,1.12,0.57,0.98,"34,415,473"
12/30/2011,0.27,0.74,0.24,0.65,"94,400,512"
