???Wattana Karnpaet PCL (NEW) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,60.00,74.75,45.00,49.25,"0,218"
12/31/2020,53.00,60.00,40.25,60.00,"0,069"
12/31/2019,65.25,77.00,45.00,53.00,"0,145"
12/31/2018,52.00,79.00,41.00,65.25,"0,290"
12/29/2017,49.75,58.00,44.00,52.00,"0,185"
12/30/2016,63.00,79.50,44.00,49.75,"0,911"
12/31/2015,55.75,74.00,46.75,63.00,"0,300"
12/31/2014,72.50,75.00,38.25,55.75,"1,808"
12/31/2013,57.50,91.00,50.00,72.50,"10,501"
12/31/2012,12.40,61.25,11.00,57.50,"85,844"
12/30/2011,12.00,25.25,11.00,12.40,"66,958"
