???News Network Corp PCL (NEWS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.01,0.02,0.01,0.02,"41,388,390"
12/31/2020,0.01,0.02,0.01,0.01,???
12/31/2019,0.01,0.02,0.01,0.01,???
12/31/2018,0.01,0.02,0.01,0.01,???
12/29/2017,0.03,0.05,0.01,0.01,"199,483,002"
12/30/2016,0.03,0.04,0.01,0.03,"333,377,096"
12/31/2015,0.07,0.09,0.03,0.03,"255,785,858"
12/31/2014,0.53,0.56,0.07,0.07,"135,975,342"
12/31/2013,0.67,1.47,0.38,0.53,"88,186,367"
12/31/2012,0.20,0.80,0.19,0.67,"48,060,912"
12/30/2011,0.26,0.33,0.11,0.20,"28,073,500"
