???Nation International Edutainment PCL (NINE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.22,5.10,2.20,4.50,"213,438"
12/31/2020,2.10,2.60,1.20,2.22,???
12/31/2019,2.02,2.92,1.76,2.10,???
12/31/2018,1.59,3.40,1.11,2.02,???
12/29/2017,1.57,2.06,1.45,1.59,"325,160"
12/30/2016,2.36,3.18,1.31,1.57,"724,895"
12/31/2015,4.64,10.50,2.16,2.36,"2,013,050"
12/31/2014,3.98,5.70,3.20,4.64,"1,005,918"
12/31/2013,4.50,13.48,3.60,3.98,"596,833"
12/31/2012,2.41,4.91,1.99,4.50,"1,439,151"
12/30/2011,3.70,4.29,1.74,2.41,"1,519,846"
