???Nation Multimedia Group PCL (NMG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.17,0.23,0.08,0.17,"9,545,972"
12/31/2020,0.17,0.17,0.17,0.17,"0,000"
12/31/2019,0.38,0.38,0.08,0.17,"4,810,840"
12/31/2018,0.48,0.53,0.34,0.38,"1,409,924"
12/29/2017,1.12,1.20,0.45,0.48,"10,368,724"
12/30/2016,1.39,1.52,0.98,1.12,"2,126,310"
12/31/2015,1.85,3.20,1.30,1.39,"14,018,403"
12/31/2014,1.34,2.22,1.02,1.85,"41,586,658"
12/31/2013,1.08,3.12,1.03,1.34,"111,318,565"
12/31/2012,0.42,1.26,0.42,1.08,"96,343,422"
12/30/2011,0.69,0.80,0.29,0.42,"6,814,473"
