???New Plus Knitting PCL (NPK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,15.20,17.60,11.20,14.50,"0,800"
12/31/2020,18.90,22.80,5.65,15.20,???
12/31/2019,24.50,31.50,17.20,18.90,"0,000"
12/31/2018,28.25,32.25,20.10,24.50,"0,000"
12/29/2017,24.00,40.00,23.40,28.25,"0,000"
12/30/2016,21.00,30.00,20.00,24.00,"2,100"
12/31/2015,23.10,33.75,19.00,21.00,"0,000"
12/31/2014,20.00,26.00,17.00,23.10,"0,000"
12/31/2013,35.00,38.00,17.30,20.00,"0,000"
12/31/2012,34.00,42.00,29.25,35.00,"0,000"
12/30/2011,50.00,50.00,29.00,34.00,"21,000"
