???Nusasiri PCL (NUSA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.29,0.54,0.26,0.44,"29,737,851"
12/31/2020,0.49,0.59,0.23,0.29,???
12/31/2019,0.47,0.55,0.30,0.49,???
12/31/2018,0.45,0.62,0.20,0.47,???
12/29/2017,0.46,0.53,0.39,0.45,"10,905,942"
12/30/2016,0.64,0.68,0.37,0.46,"27,887,184"
12/31/2015,1.17,1.31,0.61,0.64,"61,357,918"
12/31/2014,0.90,1.56,0.69,1.17,"33,148,337"
12/31/2013,0.87,1.25,0.67,0.90,"32,312,475"
12/31/2012,0.91,1.02,0.66,0.87,"39,164,556"
12/30/2011,2.38,2.59,0.78,0.91,"29,990,126"
09/09/2011,2.38,2.59,1.41,1.51,"746,447,221"
