???Nawarat Patanakarn PCL (NWR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.62,1.44,0.55,1.35,"63,117,062"
12/31/2020,0.43,0.68,0.20,0.62,???
12/31/2019,0.77,0.96,0.42,0.43,???
12/31/2018,1.16,1.23,0.67,0.77,???
12/29/2017,1.23,1.51,1.12,1.16,"9,639,078"
12/30/2016,1.32,1.54,1.00,1.23,"15,165,230"
12/31/2015,1.66,2.24,1.26,1.32,"26,776,534"
12/31/2014,1.87,2.52,1.41,1.66,"22,294,373"
12/31/2013,1.43,4.37,1.43,1.87,"100,024,648"
12/31/2012,0.49,1.55,0.47,1.43,"68,727,647"
12/30/2011,0.55,0.66,0.34,0.49,"28,149,790"
