???O.C.C. PCL (OCC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,10.30,12.80,7.60,10.60,"1,396"
12/31/2020,13.00,14.00,7.60,10.30,???
12/31/2019,17.20,17.30,10.00,13.00,"1,017"
12/31/2018,16.00,18.00,15.80,17.20,"4,293"
12/29/2017,16.00,19.30,15.00,16.00,"1,886"
12/30/2016,17.00,17.30,14.00,16.00,"1,011"
12/31/2015,19.60,20.00,16.00,17.00,"1,838"
12/31/2014,16.30,25.00,16.30,19.60,"2,195"
12/31/2013,19.90,24.50,16.20,16.30,"1,385"
12/31/2012,18.00,26.00,16.70,19.90,"1,237"
12/30/2011,14.30,22.00,13.00,18.00,"10,474"
