???OHTL PCL (OHTL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,330.00,380.00,318.00,361.00,"0,099"
12/31/2020,400.00,500.00,308.00,330.00,???
12/31/2019,480.00,500.00,390.00,400.00,"0,221"
12/31/2018,890.00,910.00,470.00,480.00,"0,114"
12/29/2017,1072.00,1200.00,850.00,890.00,"0,181"
12/30/2016,1000.00,1072.00,870.00,1072.00,"0,237"
12/31/2015,828.00,1000.00,760.00,1000.00,"0,060"
12/31/2014,604.00,866.00,570.00,828.00,"0,056"
12/31/2013,480.00,690.00,472.00,604.00,"4,056"
12/31/2012,472.00,520.00,450.00,480.00,"0,152"
12/30/2011,480.00,494.00,374.00,472.00,"0,275"
