???Oishi Group PLC (OISHI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,40.00,51.50,39.25,43.50,"31,916"
12/31/2020,50.50,51.00,30.00,40.00,???
12/31/2019,37.75,60.50,36.00,50.50,???
12/31/2018,66.00,67.50,37.75,37.75,???
12/29/2017,65.00,76.50,58.75,66.00,"27,331"
12/30/2016,31.38,84.75,30.13,65.00,"93,188"
12/31/2015,35.00,48.13,30.25,31.38,"24,827"
12/31/2014,43.25,52.50,27.50,35.00,"39,567"
12/31/2013,78.50,100.00,41.63,43.25,"183,082"
12/31/2012,32.13,117.00,32.13,78.50,"254,948"
12/30/2011,49.88,54.50,29.75,32.13,"64,590"
