???Pae (Thailand) PCL (PAE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.07,0.07,0.07,0.07,"0,000"
12/31/2020,0.07,0.07,0.07,0.07,"0,000"
12/31/2019,0.07,0.07,0.07,0.07,"0,000"
12/31/2018,0.07,0.07,0.07,0.07,"0,000"
12/29/2017,0.07,0.07,0.07,0.07,"0,000"
12/30/2016,0.15,0.16,0.04,0.07,"5,592,994"
12/31/2015,0.48,0.54,0.13,0.15,"64,332,787"
12/31/2014,0.54,0.80,0.34,0.48,"76,430,471"
12/31/2013,1.48,2.50,0.40,0.54,"49,298,911"
12/31/2012,0.73,2.03,0.50,1.48,"23,875,355"
12/30/2011,0.44,0.90,0.37,0.73,"37,740,369"
