???Pan Asia Footwear PCL (PAF) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.54,2.40,0.53,1.81,"12,415,883"
12/31/2020,0.62,0.73,0.31,0.54,???
12/31/2019,0.77,1.15,0.60,0.62,???
12/31/2018,1.53,1.84,0.70,0.77,???
12/29/2017,2.28,2.64,1.35,1.53,"1,458,178"
12/30/2016,2.86,3.08,1.70,2.28,"3,259,941"
12/31/2015,5.95,6.95,2.38,2.86,"16,589,484"
12/31/2014,0.59,7.35,0.56,5.95,"31,777,918"
12/31/2013,1.03,1.81,0.51,0.59,"6,201,047"
12/31/2012,1.66,1.82,0.96,1.03,"1,780,931"
12/30/2011,1.04,2.70,1.00,1.66,"12,185,368"
