???Pacific Pipe PCL (PAP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.66,6.30,3.54,5.30,"1,454,339"
12/31/2020,2.22,3.82,1.61,3.66,???
12/31/2019,3.42,4.02,2.20,2.22,???
12/31/2018,5.05,5.55,3.28,3.42,???
12/29/2017,6.20,8.55,4.92,5.05,"1,432,360"
12/30/2016,2.94,6.45,2.80,6.20,"973,873"
12/31/2015,4.64,5.60,2.80,2.94,"323,888"
12/31/2014,4.38,6.15,4.00,4.64,"1,268,528"
12/31/2013,3.22,7.10,3.20,4.38,"2,144,653"
12/31/2012,3.18,3.50,2.48,3.22,"723,901"
12/30/2011,2.54,3.50,2.20,3.18,"1,771,663"
