???Pato Chemical Industry PCL (PATO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,10.50,12.40,9.80,11.50,"76,270"
12/31/2020,11.30,11.50,7.80,10.50,???
12/31/2019,13.00,14.10,8.15,11.30,???
12/31/2018,17.10,17.90,12.70,13.00,???
12/29/2017,12.20,18.30,11.80,17.10,"172,886"
12/30/2016,10.70,13.70,10.20,12.20,"95,868"
12/31/2015,12.50,14.50,10.40,10.70,"237,833"
12/31/2014,12.90,13.60,11.90,12.50,"71,435"
12/31/2013,11.30,13.50,10.60,12.90,"110,067"
12/31/2012,11.40,13.70,10.60,11.30,"216,238"
12/30/2011,14.50,15.10,10.00,11.40,"363,487"
