???President Bakery PCL (PB) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,70.00,71.00,67.50,69.25,"7,356"
12/31/2020,72.00,72.00,63.75,70.00,???
12/31/2019,60.75,78.00,44.75,72.00,???
12/31/2018,64.25,64.25,59.75,60.75,???
12/29/2017,64.00,65.00,58.00,64.25,"18,764"
12/30/2016,48.00,72.00,48.00,64.00,"20,140"
12/31/2015,42.00,51.00,40.25,48.00,"16,049"
12/31/2014,43.50,47.50,39.00,42.00,"15,292"
12/31/2013,55.50,58.00,41.00,43.50,"11,757"
12/31/2012,37.75,65.75,37.50,55.50,"17,265"
12/30/2011,22.60,41.50,22.40,37.75,"27,276"
