???Premier Enterprise PCL (PE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.03,0.03,0.03,0.03,"0,000"
12/31/2020,0.07,0.07,0.02,0.03,"70,980"
12/31/2019,0.20,0.28,0.04,0.07,"310,489"
12/31/2018,0.58,0.62,0.15,0.20,???
12/29/2017,0.88,1.01,0.54,0.58,"3,331,061"
12/30/2016,0.93,1.10,0.68,0.88,"2,359,742"
12/31/2015,1.37,1.95,0.72,0.93,"9,365,975"
12/31/2014,0.80,2.02,0.77,1.37,"11,788,197"
12/31/2013,1.13,1.47,0.72,0.80,"13,818,729"
12/31/2012,0.47,1.24,0.47,1.13,"23,279,846"
12/30/2011,0.47,0.96,0.39,0.47,"21,930,713"
