???Permsin Steel Works PCL (PERM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.34,3.88,1.18,3.04,"12,974,283"
12/31/2020,0.74,1.54,0.51,1.34,???
12/31/2019,1.62,2.21,0.72,0.74,???
12/31/2018,2.19,2.58,1.54,1.62,???
12/29/2017,4.24,5.35,1.95,2.19,"10,504,508"
12/30/2016,0.92,4.41,0.87,4.24,"13,131,454"
12/31/2015,1.92,2.61,0.81,0.92,"7,039,340"
12/31/2014,0.74,3.79,0.70,1.92,"26,605,642"
12/31/2013,0.87,1.95,0.67,0.74,"7,130,744"
12/31/2012,0.80,0.96,0.73,0.87,"2,729,997"
12/30/2011,0.88,1.13,0.68,0.80,"3,074,200"
