???Property Perfect PCL (PF) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.38,0.56,0.38,0.51,"60,492,480"
12/31/2020,0.74,0.79,0.30,0.38,???
12/31/2019,0.67,0.83,0.63,0.74,???
12/31/2018,0.79,1.07,0.62,0.67,???
12/29/2017,0.82,0.89,0.75,0.79,"4,484,421"
12/30/2016,0.72,0.95,0.65,0.82,"8,384,734"
12/31/2015,1.04,1.24,0.70,0.72,"14,283,158"
12/31/2014,0.82,1.43,0.74,1.04,"52,428,011"
12/31/2013,0.94,1.77,0.78,0.82,"88,351,146"
12/31/2012,0.62,1.23,0.62,0.94,"91,369,555"
12/30/2011,0.55,0.92,0.52,0.62,"47,619,703"
