???People's Garment PCL (PG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.96,7.30,4.52,6.55,"10,333"
12/31/2020,5.35,5.70,4.28,4.96,???
12/31/2019,5.40,6.35,5.20,5.35,"3,213"
12/31/2018,7.45,7.90,5.40,5.40,???
12/29/2017,7.90,8.65,7.20,7.45,"4,506"
12/30/2016,8.65,11.40,7.50,7.90,"61,107"
12/31/2015,11.10,17.90,8.30,8.65,"231,000"
12/31/2014,11.20,12.50,10.70,11.10,"9,433"
12/31/2013,12.70,13.30,10.60,11.20,"20,158"
12/31/2012,11.10,17.00,11.10,12.70,"17,974"
12/30/2011,11.70,14.00,10.80,11.10,"11,777"
