???Pico (Thailand) PCL (PICO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.44,3.80,3.10,3.24,"26,827"
12/31/2020,3.78,4.28,2.80,3.44,???
12/31/2019,3.66,5.45,3.42,3.78,"15,220"
12/31/2018,6.90,7.50,3.30,3.66,"33,632"
12/29/2017,3.56,7.70,3.36,6.90,"866,513"
12/30/2016,2.60,5.10,2.40,3.56,"977,199"
12/31/2015,2.02,3.48,1.75,2.60,"3,340,636"
12/31/2014,1.76,2.94,1.68,2.02,"792,301"
12/31/2013,3.48,3.90,1.53,1.76,"483,306"
12/31/2012,2.39,4.12,2.36,3.48,"849,160"
12/30/2011,2.07,2.67,1.77,2.39,"422,996"
