???Patkol PCL (PK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.59,2.66,1.52,2.36,"2,671,009"
12/31/2020,1.34,2.02,0.61,1.59,???
12/31/2019,2.08,3.12,1.30,1.34,???
12/31/2018,5.55,7.85,2.06,2.08,???
12/29/2017,3.74,7.60,3.30,5.55,"6,652,526"
12/30/2016,4.00,4.70,2.22,3.74,"4,862,311"
12/31/2015,0.40,8.15,0.40,4.00,"14,356,064"
12/31/2014,0.40,0.40,0.40,0.40,"0,000"
12/31/2013,0.40,0.40,0.40,0.40,"0,000"
12/31/2012,0.40,0.40,0.40,0.40,"0,000"
12/30/2011,0.40,0.40,0.40,0.40,"332,413"
