???Polaris Capital PCL (POLAR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.06,0.06,0.06,0.06,"0,000"
12/31/2020,0.06,0.06,0.06,0.06,"0,000"
12/31/2019,0.11,0.11,0.04,0.06,"14,576,809"
12/31/2018,0.11,0.11,0.11,0.11,"0,000"
12/29/2017,0.11,0.13,0.10,0.11,"9,875,019"
12/30/2016,0.07,0.13,0.05,0.11,"78,177,529"
12/31/2015,1.08,1.62,0.06,0.07,"184,069,351"
12/31/2014,1.26,1.44,0.36,1.08,"12,217,954"
12/31/2013,2.30,3.97,1.08,1.26,"2,694,671"
12/31/2012,1.86,2.82,1.56,2.30,"752,899"
12/30/2011,2.48,4.08,1.46,1.86,"392,401"
