???Bangkok Post PCL (POST) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.00,2.00,0.90,1.10,"92,231"
12/31/2020,2.20,2.40,0.88,1.00,???
12/31/2019,2.88,2.98,1.67,2.20,???
12/31/2018,3.38,4.10,2.00,2.88,"2,803"
12/29/2017,3.88,6.00,3.08,3.38,"17,494"
12/30/2016,6.30,7.50,3.48,3.88,"8,982"
12/31/2015,6.60,7.90,5.30,6.30,"9,611"
12/31/2014,6.75,7.85,5.80,6.60,"13,000"
12/31/2013,4.62,9.00,4.10,6.75,"594,837"
12/31/2012,2.82,8.50,2.02,4.62,"695,344"
12/30/2011,4.46,4.60,2.68,2.82,"58,529"
