???Porn Prom Metal PCL (PPM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.76,2.38,0.73,2.08,"2,221,355"
12/31/2020,0.94,1.28,0.36,0.76,???
12/31/2019,1.11,1.74,0.88,0.94,???
12/31/2018,2.92,3.12,1.05,1.11,???
12/29/2017,4.06,5.25,2.30,2.92,"1,448,049"
12/30/2016,1.81,4.58,1.51,4.06,"1,748,744"
12/31/2015,4.03,4.28,1.56,1.81,"158,572"
12/31/2014,3.15,6.85,2.70,4.03,"1,551,270"
12/31/2013,1.74,4.38,1.72,3.15,"3,513,452"
12/31/2012,1.30,2.16,1.08,1.74,"327,760"
12/30/2011,1.39,1.53,1.23,1.30,"187,640"
