???PP Prime PCL (PPPM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.16,0.40,0.14,0.36,"5,160,152"
12/31/2020,0.23,0.29,0.13,0.16,???
12/31/2019,1.17,1.46,0.23,0.23,???
12/31/2018,3.57,3.57,1.17,1.17,???
12/29/2017,3.85,6.20,3.33,3.57,"8,564,800"
12/30/2016,2.22,4.04,1.84,3.85,"8,362,336"
12/31/2015,1.32,5.85,1.29,2.22,"24,324,141"
12/31/2014,1.12,1.52,1.06,1.32,"2,012,804"
12/31/2013,1.76,1.77,1.00,1.12,"628,750"
12/31/2012,1.54,1.82,1.53,1.76,"547,326"
12/30/2011,1.85,2.20,1.37,1.54,"1,523,335"
