???Pre-Built PCL (PREB) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.70,9.45,7.55,8.90,"223,886"
12/31/2020,8.85,9.40,6.00,7.70,???
12/31/2019,9.45,11.40,8.35,8.85,???
12/31/2018,12.40,13.10,9.30,9.45,???
12/29/2017,13.50,16.00,12.10,12.40,"826,041"
12/30/2016,12.90,15.10,10.10,13.50,"242,318"
12/31/2015,11.10,16.60,11.10,12.90,"283,130"
12/31/2014,6.15,12.50,5.70,11.10,"424,513"
12/31/2013,6.75,11.40,5.60,6.15,"1,437,648"
12/31/2012,2.49,7.20,2.41,6.75,"1,580,641"
12/30/2011,2.24,2.96,2.01,2.49,"1,144,200"
