???Preecha Group PCL (PRECHA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.85,1.55,0.76,1.35,"13,463,800"
12/31/2020,1.09,1.15,0.46,0.85,???
12/31/2019,1.61,1.82,0.95,1.09,???
12/31/2018,1.75,2.18,1.20,1.61,???
12/29/2017,1.92,3.02,1.70,1.75,"113,800"
12/30/2016,2.20,2.44,1.34,1.92,"28,900"
12/31/2015,2.42,4.02,1.95,2.20,"0,000"
12/31/2014,1.12,4.72,1.12,2.42,"0,000"
12/31/2013,1.20,2.14,1.09,1.12,"0,000"
12/31/2012,1.05,1.48,1.03,1.20,"0,000"
12/30/2011,1.25,1.33,0.93,1.05,"93,000"
