???Prime Road Power PCL (PRIME) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.96,2.96,1.88,2.38,"11,919,131"
12/31/2020,1.48,2.48,0.88,1.96,???
12/31/2019,1.40,1.72,1.08,1.48,???
12/31/2018,1.96,2.28,0.96,1.40,???
12/29/2017,2.03,2.76,1.24,1.96,"2,187,993"
12/30/2016,2.39,3.35,1.60,2.03,"1,271,771"
12/31/2015,4.19,5.14,2.19,2.39,"2,630,144"
12/31/2014,3.72,6.57,3.33,4.19,"7,407,444"
12/31/2013,5.54,6.61,3.17,3.72,"2,275,803"
12/31/2012,3.58,6.25,2.95,5.54,"1,726,111"
12/30/2011,6.28,6.66,2.57,3.58,"3,113,239"
