???Prinsiri PCL (PRIN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.81,2.76,1.74,2.30,"1,195,295"
12/31/2020,1.52,1.89,1.10,1.81,???
12/31/2019,1.57,1.68,1.47,1.52,???
12/31/2018,1.78,1.96,1.52,1.57,???
12/29/2017,1.43,1.97,1.36,1.78,"3,964,065"
12/30/2016,1.32,1.61,1.16,1.43,"2,496,606"
12/31/2015,1.53,2.84,1.21,1.32,"17,690,233"
12/31/2014,1.35,2.02,1.27,1.53,"6,528,609"
12/31/2013,2.00,2.62,1.28,1.35,"10,349,486"
12/31/2012,1.19,2.34,1.19,2.00,"11,869,569"
12/30/2011,2.08,2.28,1.11,1.19,"5,506,345"
