???Professional Waste Technology (1999) PCL (PRO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.35,0.35,0.35,0.35,"0,000"
12/31/2020,0.35,0.35,0.35,0.35,"0,000"
12/31/2019,0.20,0.48,0.20,0.35,"3,171,532"
12/31/2018,0.20,0.20,0.20,0.20,"0,000"
12/29/2017,0.20,0.20,0.20,0.20,"0,000"
12/30/2016,0.20,0.20,0.20,0.20,"0,000"
12/31/2015,0.20,0.20,0.20,0.20,"0,000"
12/31/2014,0.20,0.20,0.20,0.20,"0,000"
12/31/2013,0.20,0.20,0.20,0.20,"0,000"
12/31/2012,0.23,0.25,0.19,0.20,"1,034,027"
12/30/2011,0.22,0.37,0.17,0.23,"9,995,590"
