???Proud Real Estate PCL (PROUD) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.93,1.40,0.80,1.13,"195,149"
12/31/2020,1.48,1.56,0.66,0.93,???
12/31/2019,1.56,2.32,1.32,1.48,???
12/31/2018,1.12,1.75,0.70,1.56,???
12/29/2017,1.83,2.10,1.05,1.12,"3,054,778"
12/30/2016,2.40,2.65,1.31,1.83,"4,025,382"
12/31/2015,2.76,4.49,2.24,2.40,"1,829,010"
12/31/2014,1.71,3.84,1.52,2.76,"1,240,112"
12/31/2013,3.20,4.98,1.50,1.71,"2,285,921"
12/31/2012,1.46,3.82,1.08,3.20,"4,175,963"
12/30/2011,1.29,1.60,0.93,1.46,"230,702"
