???Precious Shipping PCL (PSL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.60,20.40,7.00,18.90,"29,691,182"
12/31/2020,7.60,8.30,2.42,7.60,???
12/31/2019,8.65,9.75,6.25,7.60,???
12/31/2018,10.50,14.90,8.65,8.65,???
12/29/2017,8.20,12.90,8.10,10.50,"6,382,566"
12/30/2016,5.60,9.40,4.66,8.20,"5,029,734"
12/31/2015,10.39,13.68,5.55,5.60,"3,969,151"
12/31/2014,16.27,22.73,9.93,10.39,"3,028,632"
12/31/2013,10.85,16.81,10.70,16.27,"1,907,354"
12/31/2012,12.38,12.99,10.01,10.85,"936,930"
12/30/2011,13.90,15.05,9.93,12.38,"1,526,719"
