???Polyplex (Thailand) PCL (PTL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,22.60,31.75,21.80,28.50,"6,750,138"
12/31/2020,14.50,25.50,8.15,22.60,???
12/31/2019,13.00,16.20,12.80,14.50,???
12/31/2018,13.10,17.60,12.80,13.00,???
12/29/2017,15.40,19.80,11.70,13.10,"9,680,728"
12/30/2016,6.22,16.30,5.82,15.40,"7,842,239"
12/31/2015,9.65,11.34,6.12,6.22,"676,555"
12/31/2014,9.20,14.33,8.46,9.65,"1,744,404"
12/31/2013,13.73,15.82,7.96,9.20,"1,418,054"
12/31/2012,14.83,17.51,12.94,13.73,"1,499,229"
12/30/2011,36.82,40.80,11.04,14.83,"11,303,448"
