???Ptt PCL (PTT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,42.50,45.00,37.00,40.75,"71,574,584"
12/31/2020,44.00,47.75,23.60,42.50,???
12/31/2019,46.00,50.25,40.75,44.00,???
12/31/2018,44.00,59.50,44.00,46.00,???
12/29/2017,37.20,45.20,36.50,44.00,"46,703,176"
12/30/2016,24.50,37.70,19.70,37.20,"63,530,729"
12/31/2015,32.40,38.20,20.60,24.50,"54,771,576"
12/31/2014,28.60,39.80,25.90,32.40,"40,892,248"
12/31/2013,33.20,36.80,28.40,28.60,"41,274,794"
12/31/2012,31.80,36.90,30.00,33.20,"35,940,344"
12/30/2011,32.50,38.70,23.60,31.80,"56,293,207"
