???PTT Exploration & Production PCL (PTTEP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,98.25,122.50,96.25,121.00,"12,168,271"
12/31/2020,124.50,136.00,51.00,98.25,???
12/31/2019,113.50,138.50,112.00,124.50,???
12/31/2018,100.00,160.00,99.75,113.50,???
12/29/2017,96.25,103.00,82.75,100.00,"9,088,526"
12/30/2016,57.75,97.00,41.25,96.25,"15,859,661"
12/31/2015,112.00,126.50,54.25,57.75,"7,096,735"
12/31/2014,166.50,172.50,99.75,112.00,"5,287,104"
12/31/2013,164.00,174.00,141.00,166.50,"5,091,360"
12/31/2012,164.23,182.26,143.76,164.00,"4,173,245"
12/30/2011,165.20,194.44,127.19,164.23,"5,302,386"
