???PTT Global Chemical PCL (PTTGC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,58.50,70.00,57.00,62.25,"19,643,469"
12/31/2020,57.00,61.25,21.60,58.50,???
12/31/2019,71.25,74.75,48.50,57.00,???
12/31/2018,85.00,105.00,69.50,71.25,???
12/29/2017,63.00,87.00,62.50,85.00,"11,169,220"
12/30/2016,50.75,66.00,44.25,63.00,"11,418,214"
12/31/2015,51.25,71.25,46.50,50.75,"11,076,030"
12/31/2014,79.00,79.75,49.00,51.25,"10,787,910"
12/31/2013,70.00,81.75,64.00,79.00,"11,733,432"
12/31/2012,61.00,76.00,53.25,70.00,"15,124,599"
12/30/2011,56.00,68.50,53.25,61.00,"29,996,639"
10/21/2011,56.00,56.00,53.25,54.00,"41,140,300"
