???Pylon PCL (PYLON) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.94,4.94,3.76,4.76,"2,177,736"
12/31/2020,4.72,5.40,2.94,3.94,???
12/31/2019,7.05,7.20,4.60,4.72,???
12/31/2018,8.05,9.05,5.95,7.05,???
12/29/2017,6.30,8.45,5.75,8.05,"2,471,825"
12/30/2016,5.50,6.60,4.63,6.30,"2,029,144"
12/31/2015,4.35,6.80,4.13,5.50,"4,602,778"
12/31/2014,2.73,5.30,2.58,4.35,"3,283,285"
12/31/2013,1.87,3.70,1.87,2.73,"2,311,148"
12/31/2012,1.07,2.50,0.98,1.87,"6,247,772"
12/30/2011,0.73,1.10,0.71,1.07,"5,182,131"
