???Ratch Group PCL (RATCH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,53.00,57.50,48.50,51.25,"5,437,669"
12/31/2020,68.75,76.50,40.25,53.00,???
12/31/2019,50.75,83.25,50.00,68.75,???
12/31/2018,54.25,56.25,48.00,50.75,???
12/29/2017,50.00,57.00,49.25,54.25,"1,581,808"
12/30/2016,47.50,54.75,47.25,50.00,"1,067,439"
12/31/2015,58.75,62.50,46.75,47.50,"749,412"
12/31/2014,49.00,62.75,45.00,58.75,"775,782"
12/31/2013,59.75,64.50,47.50,49.00,"969,340"
12/31/2012,44.00,61.25,40.00,59.75,"1,174,659"
12/30/2011,38.75,46.00,37.25,44.00,"1,275,679"
