???Royal Ceramic Industry PCL (RCI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.64,4.22,3.44,3.86,"359,900"
12/31/2020,3.62,4.44,2.58,3.64,???
12/31/2019,3.88,4.12,3.06,3.62,???
12/31/2018,2.77,4.12,2.00,3.88,???
12/29/2017,2.16,4.29,2.14,2.77,"198,963"
12/30/2016,2.61,2.97,1.69,2.16,"1,257,040"
12/31/2015,3.47,6.12,2.43,2.61,"0,000"
12/31/2014,2.95,4.87,2.47,3.47,"0,000"
12/31/2013,2.06,5.39,2.01,2.95,"0,000"
12/31/2012,0.84,2.43,0.76,2.06,"0,000"
12/30/2011,1.05,1.34,0.75,0.84,"498,174"
