???Regional Container Lines PCL (RCL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,14.20,59.25,14.10,57.75,"18,762,080"
12/31/2020,3.54,15.40,1.66,14.20,???
12/31/2019,4.76,5.25,3.48,3.54,???
12/31/2018,8.65,10.00,4.70,4.76,???
12/29/2017,5.15,9.95,5.15,8.65,"3,835,346"
12/30/2016,5.25,6.90,4.40,5.15,"856,594"
12/31/2015,8.45,11.20,4.98,5.25,"3,113,847"
12/31/2014,6.30,14.10,5.70,8.45,"4,521,663"
12/31/2013,7.05,8.05,5.35,6.30,"623,352"
12/31/2012,6.60,9.20,6.45,7.05,"1,158,841"
12/30/2011,15.30,15.80,5.50,6.60,"1,715,307"
