???Royal Orchid Hotel (Thailand) PCL (ROH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,38.25,39.00,29.25,32.75,"1,312"
12/31/2020,35.50,39.25,30.00,38.25,???
12/31/2019,49.00,61.00,34.00,35.50,???
12/31/2018,37.25,50.00,34.00,49.00,???
12/29/2017,31.25,40.00,27.50,37.25,"0,857"
12/30/2016,32.00,33.00,21.40,31.25,"0,687"
12/31/2015,24.20,35.00,23.00,32.00,"0,387"
12/31/2014,19.00,30.00,19.00,24.20,"0,443"
12/31/2013,18.50,32.50,18.00,19.00,"0,619"
12/31/2012,22.00,22.00,16.10,18.50,"0,841"
12/30/2011,26.25,26.25,16.70,22.00,"0,553"
