???Rojana Industrial Park PCL (ROJNA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.50,8.90,4.22,7.60,"12,861,989"
12/31/2020,5.10,5.55,3.26,4.50,???
12/31/2019,4.70,7.25,4.64,5.10,???
12/31/2018,7.10,8.00,4.66,4.70,???
12/29/2017,4.54,7.80,4.52,7.10,"4,747,504"
12/30/2016,5.25,6.35,4.22,4.54,"1,262,296"
12/31/2015,7.21,11.47,5.05,5.25,"4,631,160"
12/31/2014,6.66,8.49,6.18,7.21,"1,055,055"
12/31/2013,10.13,13.80,6.61,6.66,"2,906,661"
12/31/2012,5.36,10.52,5.31,10.13,"3,481,327"
12/30/2011,10.23,11.77,5.26,5.36,"808,733"
