???RPCG PCL (RPC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.61,1.17,0.56,1.05,"23,405,866"
12/31/2020,0.66,0.69,0.32,0.61,???
12/31/2019,0.39,0.83,0.34,0.66,???
12/31/2018,0.71,0.74,0.38,0.39,???
12/29/2017,0.89,1.01,0.68,0.71,"6,524,510"
12/30/2016,0.69,1.18,0.63,0.89,"24,420,527"
12/31/2015,1.11,1.49,0.59,0.69,"17,633,690"
12/31/2014,1.30,3.20,0.96,1.11,"31,016,380"
12/31/2013,1.20,2.51,0.87,1.30,"8,918,206"
12/31/2012,1.65,2.09,0.84,1.20,"8,556,191"
12/30/2011,2.76,3.95,1.56,1.65,"4,912,546"
