???RS PCL (RS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,17.30,30.00,16.80,24.40,"13,643,571"
12/31/2020,12.30,20.40,8.40,17.30,???
12/31/2019,14.80,20.30,11.80,12.30,???
12/31/2018,27.75,35.75,13.70,14.80,???
12/29/2017,7.80,29.00,7.80,27.75,"5,693,100"
12/30/2016,9.90,12.80,5.95,7.80,"4,250,620"
12/31/2015,16.80,21.90,9.10,9.90,"7,068,064"
12/31/2014,7.10,21.40,5.85,16.80,"10,517,608"
12/31/2013,5.85,12.90,5.80,7.10,"3,447,692"
12/31/2012,2.60,6.45,2.60,5.85,"6,284,484"
12/30/2011,2.74,4.24,2.44,2.60,"7,909,891"
