???Singha Estate PCL (S) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.60,2.48,1.55,2.42,"16,703,011"
12/31/2020,2.60,2.66,1.09,1.60,???
12/31/2019,3.10,3.80,2.44,2.60,???
12/31/2018,3.48,4.10,2.68,3.10,???
12/29/2017,4.42,5.20,3.46,3.48,"9,237,336"
12/30/2016,6.04,6.18,3.50,4.42,"11,129,963"
12/31/2015,7.83,10.07,4.98,6.04,"10,628,736"
12/31/2014,1.48,11.72,1.38,7.83,"16,740,628"
12/31/2013,1.32,1.71,0.83,1.48,"5,487,290"
12/31/2012,1.21,1.81,1.08,1.32,"12,505,291"
12/30/2011,0.77,1.65,0.67,1.21,"29,005,893"
