???Samchai Steel Industries PCL (SAM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.47,2.00,0.43,1.47,"24,580,068"
12/31/2020,0.37,0.57,0.18,0.47,???
12/31/2019,0.46,0.75,0.34,0.37,???
12/31/2018,0.99,1.08,0.44,0.46,???
12/29/2017,1.60,1.79,0.97,0.99,"1,893,078"
12/30/2016,0.99,1.60,0.89,1.60,"3,765,076"
12/31/2015,2.06,2.50,0.88,0.99,"3,252,802"
12/31/2014,1.33,2.94,1.20,2.06,"13,010,720"
12/31/2013,1.49,3.76,1.10,1.33,"10,836,458"
12/31/2012,0.72,1.62,0.71,1.49,"4,839,944"
12/30/2011,0.81,1.22,0.61,0.72,"3,039,657"
