???Samart Corp PCL (SAMART) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.45,10.70,5.30,10.40,"9,812,954"
12/31/2020,6.80,8.65,3.72,5.45,???
12/31/2019,6.35,10.80,6.25,6.80,???
12/31/2018,11.70,12.10,6.00,6.35,???
12/29/2017,12.50,17.30,11.40,11.70,"4,145,876"
12/30/2016,15.40,19.90,12.30,12.50,"4,333,210"
12/31/2015,39.25,45.25,14.20,15.40,"7,966,173"
12/31/2014,14.80,40.25,13.60,39.25,"9,698,122"
12/31/2013,12.80,30.75,12.10,14.80,"7,958,208"
12/31/2012,7.20,12.90,7.20,12.80,"7,616,548"
12/30/2011,8.80,10.60,6.95,7.20,"11,003,442"
